Country,Language,Count
Austria,Apex,9
Austria,Assembly,22
Austria,Bash/Shell (all shells),264
Austria,C,134
Austria,C#,223
Austria,C++,150
Austria,Clojure,7
Austria,Cobol,2
Austria,Crystal,3
Austria,Dart,38
Austria,Delphi,29
Austria,Elixir,16
Austria,Erlang,8
Austria,F#,8
Austria,Fortran,6
Austria,GDScript,2
Austria,Go,83
Austria,Groovy,39
Austria,HTML/CSS,385
Austria,Haskell,10
Austria,Java,235
Austria,JavaScript,432
Austria,Julia,5
Austria,Kotlin,93
Austria,Lisp,10
Austria,Lua,35
Austria,MATLAB,19
Austria,Nim,3
Austria,OCaml,1
Austria,Objective-C,14
Austria,PHP,167
Austria,Perl,21
Austria,PowerShell,117
Austria,Prolog,4
Austria,Python,316
Austria,R,45
Austria,Raku,4
Austria,Ruby,30
Austria,Rust,85
Austria,SAS,3
Austria,SQL,380
Austria,Scala,16
Austria,Solidity,4
Austria,Swift,37
Austria,TypeScript,312
Austria,VBA,32
Austria,Visual Basic (.Net),30
Austria,Zig,11
Belgium,Ada,5
Belgium,Apex,6
Belgium,Assembly,23
Belgium,Bash/Shell (all shells),230
Belgium,C,79
Belgium,C#,194
Belgium,C++,103
Belgium,Clojure,4
Belgium,Cobol,8
Belgium,Dart,35
Belgium,Delphi,27
Belgium,Elixir,17
Belgium,Erlang,10
Belgium,F#,6
Belgium,Flow,2
Belgium,Fortran,7
Belgium,GDScript,6
Belgium,Go,52
Belgium,Groovy,30
Belgium,HTML/CSS,379
Belgium,Haskell,11
Belgium,Java,205
Belgium,JavaScript,417
Belgium,Julia,9
Belgium,Kotlin,56
Belgium,Lisp,10
Belgium,Lua,40
Belgium,MATLAB,18
Belgium,Nim,2
Belgium,OCaml,3
Belgium,Objective-C,22
Belgium,PHP,149
Belgium,Perl,20
Belgium,PowerShell,103
Belgium,Prolog,9
Belgium,Python,288
Belgium,R,28
Belgium,Raku,2
Belgium,Ruby,31
Belgium,Rust,58
Belgium,SAS,2
Belgium,SQL,382
Belgium,Scala,16
Belgium,Solidity,5
Belgium,Swift,24
Belgium,TypeScript,289
Belgium,VBA,28
Belgium,Visual Basic (.Net),28
Belgium,Zig,2
Bulgaria,Assembly,2
Bulgaria,Bash/Shell (all shells),5
Bulgaria,C,5
Bulgaria,C#,4
Bulgaria,C++,4
Bulgaria,Dart,1
Bulgaria,Delphi,1
Bulgaria,Elixir,1
Bulgaria,Erlang,1
Bulgaria,Fortran,1
Bulgaria,Go,1
Bulgaria,Groovy,1
Bulgaria,HTML/CSS,13
Bulgaria,Java,3
Bulgaria,JavaScript,15
Bulgaria,Kotlin,2
Bulgaria,Lua,2
Bulgaria,Objective-C,1
Bulgaria,PHP,5
Bulgaria,Prolog,1
Bulgaria,Python,10
Bulgaria,R,1
Bulgaria,Ruby,1
Bulgaria,Rust,3
Bulgaria,SQL,11
Bulgaria,Swift,2
Bulgaria,TypeScript,5
Croatia,Ada,1
Croatia,Apex,2
Croatia,Assembly,10
Croatia,Bash/Shell (all shells),60
Croatia,C,20
Croatia,C#,73
Croatia,C++,22
Croatia,Clojure,2
Croatia,Dart,16
Croatia,Delphi,12
Croatia,Elixir,8
Croatia,Erlang,1
Croatia,Fortran,1
Croatia,GDScript,1
Croatia,Go,22
Croatia,Groovy,10
Croatia,HTML/CSS,109
Croatia,Haskell,2
Croatia,Java,61
Croatia,JavaScript,143
Croatia,Kotlin,22
Croatia,Lisp,3
Croatia,Lua,9
Croatia,MATLAB,6
Croatia,Objective-C,4
Croatia,PHP,35
Croatia,Perl,4
Croatia,PowerShell,35
Croatia,Python,66
Croatia,R,4
Croatia,Ruby,6
Croatia,Rust,23
Croatia,SAS,1
Croatia,SQL,108
Croatia,Scala,5
Croatia,Solidity,5
Croatia,Swift,13
Croatia,TypeScript,86
Croatia,VBA,4
Croatia,Visual Basic (.Net),7
Czech Republic,Assembly,4
Czech Republic,Bash/Shell (all shells),11
Czech Republic,C,9
Czech Republic,C#,11
Czech Republic,C++,12
Czech Republic,Clojure,1
Czech Republic,Crystal,1
Czech Republic,Dart,1
Czech Republic,Elixir,1
Czech Republic,F#,2
Czech Republic,Go,9
Czech Republic,Groovy,3
Czech Republic,HTML/CSS,20
Czech Republic,Haskell,3
Czech Republic,Java,8
Czech Republic,JavaScript,21
Czech Republic,Julia,1
Czech Republic,Kotlin,4
Czech Republic,Lua,4
Czech Republic,MATLAB,1
Czech Republic,PHP,6
Czech Republic,Perl,4
Czech Republic,PowerShell,3
Czech Republic,Prolog,1
Czech Republic,Python,19
Czech Republic,Ruby,4
Czech Republic,Rust,6
Czech Republic,SQL,15
Czech Republic,Scala,1
Czech Republic,Swift,1
Czech Republic,TypeScript,15
Czech Republic,Visual Basic (.Net),2
Czech Republic,Zig,1
Denmark,Bash/Shell (all shells),4
Denmark,C,2
Denmark,C#,2
Denmark,C++,2
Denmark,Delphi,1
Denmark,Go,1
Denmark,HTML/CSS,3
Denmark,Java,1
Denmark,JavaScript,6
Denmark,Lua,1
Denmark,PHP,4
Denmark,Python,5
Denmark,Ruby,1
Denmark,Rust,1
Denmark,SQL,4
Denmark,TypeScript,5
Denmark,VBA,1
Estonia,Apex,1
Estonia,Assembly,7
Estonia,Bash/Shell (all shells),51
Estonia,C,22
Estonia,C#,34
Estonia,C++,22
Estonia,Clojure,2
Estonia,Dart,8
Estonia,Delphi,5
Estonia,Elixir,17
Estonia,Erlang,3
Estonia,F#,1
Estonia,Fortran,1
Estonia,GDScript,4
Estonia,Go,19
Estonia,Groovy,10
Estonia,HTML/CSS,102
Estonia,Haskell,1
Estonia,Java,64
Estonia,JavaScript,127
Estonia,Julia,2
Estonia,Kotlin,15
Estonia,Lisp,3
Estonia,Lua,3
Estonia,MATLAB,4
Estonia,Objective-C,3
Estonia,PHP,45
Estonia,Perl,4
Estonia,PowerShell,21
Estonia,Python,65
Estonia,R,2
Estonia,Ruby,12
Estonia,Rust,16
Estonia,SQL,99
Estonia,Scala,5
Estonia,Solidity,1
Estonia,Swift,9
Estonia,TypeScript,83
Estonia,VBA,1
Estonia,Visual Basic (.Net),1
Finland,Ada,2
Finland,Apex,4
Finland,Assembly,25
Finland,Bash/Shell (all shells),203
Finland,C,79
Finland,C#,134
Finland,C++,89
Finland,Clojure,33
Finland,Cobol,2
Finland,Dart,17
Finland,Delphi,15
Finland,Elixir,14
Finland,Erlang,5
Finland,F#,2
Finland,Flow,2
Finland,Fortran,5
Finland,GDScript,7
Finland,Go,64
Finland,Groovy,22
Finland,HTML/CSS,277
Finland,Haskell,9
Finland,Java,144
Finland,JavaScript,344
Finland,Julia,1
Finland,Kotlin,45
Finland,Lisp,10
Finland,Lua,27
Finland,MATLAB,11
Finland,Objective-C,8
Finland,PHP,88
Finland,Perl,18
Finland,PowerShell,70
Finland,Python,267
Finland,R,21
Finland,Ruby,34
Finland,Rust,65
Finland,SQL,282
Finland,Scala,20
Finland,Solidity,1
Finland,Swift,19
Finland,TypeScript,241
Finland,VBA,14
Finland,Visual Basic (.Net),8
France,APL,4
France,Ada,55
France,Apex,16
France,Assembly,115
France,Bash/Shell (all shells),840
France,C,444
France,C#,452
France,C++,469
France,Clojure,31
France,Cobol,16
France,Crystal,10
France,Dart,121
France,Delphi,60
France,Elixir,63
France,Erlang,25
France,F#,13
France,Flow,6
France,Fortran,32
France,GDScript,37
France,Go,279
France,Groovy,98
France,HTML/CSS,1189
France,Haskell,31
France,Java,663
France,JavaScript,1410
France,Julia,20
France,Kotlin,185
France,Lisp,38
France,Lua,110
France,MATLAB,77
France,Nim,9
France,OCaml,75
France,Objective-C,46
France,PHP,575
France,Perl,74
France,PowerShell,265
France,Prolog,28
France,Python,1046
France,R,80
France,Raku,2
France,Ruby,154
France,Rust,270
France,SAS,7
France,SQL,1093
France,Scala,102
France,Solidity,26
France,Swift,99
France,TypeScript,961
France,VBA,83
France,Visual Basic (.Net),61
France,Zig,13
Germany,APL,6
Germany,Ada,26
Germany,Apex,31
Germany,Assembly,196
Germany,Bash/Shell (all shells),1927
Germany,C,862
Germany,C#,1265
Germany,C++,1096
Germany,Clojure,65
Germany,Cobol,31
Germany,Crystal,19
Germany,Dart,272
Germany,Delphi,277
Germany,Elixir,117
Germany,Erlang,58
Germany,F#,42
Germany,Flow,12
Germany,Fortran,50
Germany,GDScript,63
Germany,Go,823
Germany,Groovy,288
Germany,HTML/CSS,2589
Germany,Haskell,74
Germany,Java,1810
Germany,JavaScript,3005
Germany,Julia,60
Germany,Kotlin,641
Germany,Lisp,67
Germany,Lua,306
Germany,MATLAB,136
Germany,Nim,17
Germany,OCaml,20
Germany,Objective-C,115
Germany,PHP,1037
Germany,Perl,162
Germany,PowerShell,739
Germany,Prolog,28
Germany,Python,2326
Germany,R,182
Germany,Raku,7
Germany,Ruby,280
Germany,Rust,757
Germany,SAS,8
Germany,SQL,2530
Germany,Scala,159
Germany,Solidity,25
Germany,Swift,254
Germany,TypeScript,2140
Germany,VBA,218
Germany,Visual Basic (.Net),158
Germany,Zig,35
Greece,Ada,3
Greece,Assembly,18
Greece,Bash/Shell (all shells),117
Greece,C,65
Greece,C#,128
Greece,C++,63
Greece,Clojure,3
Greece,Cobol,7
Greece,Crystal,3
Greece,Dart,17
Greece,Delphi,30
Greece,Elixir,9
Greece,F#,3
Greece,Flow,1
Greece,Fortran,6
Greece,GDScript,4
Greece,Go,32
Greece,Groovy,20
Greece,HTML/CSS,233
Greece,Haskell,4
Greece,Java,184
Greece,JavaScript,289
Greece,Julia,3
Greece,Kotlin,28
Greece,Lisp,4
Greece,Lua,11
Greece,MATLAB,25
Greece,Nim,2
Greece,OCaml,2
Greece,Objective-C,7
Greece,PHP,109
Greece,Perl,8
Greece,PowerShell,39
Greece,Prolog,9
Greece,Python,184
Greece,R,16
Greece,Ruby,32
Greece,Rust,25
Greece,SQL,265
Greece,Scala,15
Greece,Solidity,5
Greece,Swift,10
Greece,TypeScript,150
Greece,VBA,24
Greece,Visual Basic (.Net),22
Greece,Zig,1
Hungary,Bash/Shell (all shells),16
Hungary,C,3
Hungary,C#,5
Hungary,C++,6
Hungary,Clojure,1
Hungary,Dart,3
Hungary,Delphi,1
Hungary,Elixir,1
Hungary,Go,4
Hungary,Groovy,1
Hungary,HTML/CSS,20
Hungary,Java,8
Hungary,JavaScript,21
Hungary,Kotlin,3
Hungary,Lisp,1
Hungary,Objective-C,2
Hungary,PHP,8
Hungary,PowerShell,3
Hungary,Python,17
Hungary,R,1
Hungary,Ruby,4
Hungary,Rust,5
Hungary,SQL,20
Hungary,Scala,1
Hungary,Solidity,1
Hungary,Swift,2
Hungary,TypeScript,15
Hungary,Zig,1
Ireland,APL,2
Ireland,Ada,5
Ireland,Apex,4
Ireland,Assembly,11
Ireland,Bash/Shell (all shells),127
Ireland,C,45
Ireland,C#,91
Ireland,C++,56
Ireland,Clojure,8
Ireland,Cobol,4
Ireland,Crystal,2
Ireland,Dart,10
Ireland,Delphi,9
Ireland,Elixir,4
Ireland,Erlang,3
Ireland,F#,3
Ireland,Flow,2
Ireland,Fortran,4
Ireland,GDScript,3
Ireland,Go,54
Ireland,Groovy,24
Ireland,HTML/CSS,155
Ireland,Haskell,4
Ireland,Java,120
Ireland,JavaScript,209
Ireland,Julia,1
Ireland,Kotlin,25
Ireland,Lisp,7
Ireland,Lua,9
Ireland,MATLAB,5
Ireland,OCaml,1
Ireland,Objective-C,6
Ireland,PHP,38
Ireland,Perl,12
Ireland,PowerShell,54
Ireland,Prolog,5
Ireland,Python,169
Ireland,R,28
Ireland,Ruby,34
Ireland,Rust,31
Ireland,SAS,2
Ireland,SQL,162
Ireland,Scala,15
Ireland,Solidity,2
Ireland,Swift,16
Ireland,TypeScript,131
Ireland,VBA,21
Ireland,Visual Basic (.Net),21
Italy,APL,2
Italy,Ada,8
Italy,Apex,13
Italy,Assembly,99
Italy,Bash/Shell (all shells),445
Italy,C,324
Italy,C#,476
Italy,C++,339
Italy,Clojure,7
Italy,Cobol,29
Italy,Crystal,9
Italy,Dart,104
Italy,Delphi,120
Italy,Elixir,32
Italy,Erlang,16
Italy,F#,15
Italy,Fortran,29
Italy,GDScript,12
Italy,Go,154
Italy,Groovy,62
Italy,HTML/CSS,732
Italy,Haskell,16
Italy,Java,526
Italy,JavaScript,899
Italy,Julia,12
Italy,Kotlin,126
Italy,Lisp,19
Italy,Lua,64
Italy,MATLAB,93
Italy,Nim,3
Italy,OCaml,9
Italy,Objective-C,56
Italy,PHP,407
Italy,Perl,35
Italy,PowerShell,172
Italy,Prolog,20
Italy,Python,627
Italy,R,54
Italy,Raku,1
Italy,Ruby,67
Italy,Rust,125
Italy,SAS,6
Italy,SQL,798
Italy,Scala,47
Italy,Solidity,19
Italy,Swift,81
Italy,TypeScript,509
Italy,VBA,123
Italy,Visual Basic (.Net),140
Italy,Zig,9
Latvia,Assembly,2
Latvia,Bash/Shell (all shells),43
Latvia,C,17
Latvia,C#,38
Latvia,C++,20
Latvia,Dart,1
Latvia,Delphi,4
Latvia,Elixir,5
Latvia,Erlang,1
Latvia,F#,1
Latvia,Fortran,1
Latvia,GDScript,2
Latvia,Go,15
Latvia,Groovy,8
Latvia,HTML/CSS,81
Latvia,Haskell,2
Latvia,Java,38
Latvia,JavaScript,89
Latvia,Julia,1
Latvia,Kotlin,6
Latvia,Lua,6
Latvia,MATLAB,2
Latvia,Objective-C,2
Latvia,PHP,44
Latvia,Perl,4
Latvia,PowerShell,21
Latvia,Python,45
Latvia,R,2
Latvia,Ruby,9
Latvia,Rust,13
Latvia,SQL,72
Latvia,Scala,7
Latvia,Solidity,3
Latvia,Swift,5
Latvia,TypeScript,70
Latvia,VBA,2
Latvia,Visual Basic (.Net),1
Lithuania,Apex,2
Lithuania,Assembly,2
Lithuania,Bash/Shell (all shells),56
Lithuania,C,16
Lithuania,C#,95
Lithuania,C++,27
Lithuania,Clojure,4
Lithuania,Crystal,1
Lithuania,Dart,7
Lithuania,Delphi,5
Lithuania,Elixir,4
Lithuania,Erlang,1
Lithuania,Fortran,1
Lithuania,GDScript,4
Lithuania,Go,21
Lithuania,Groovy,5
Lithuania,HTML/CSS,117
Lithuania,Haskell,1
Lithuania,Java,57
Lithuania,JavaScript,150
Lithuania,Julia,2
Lithuania,Kotlin,13
Lithuania,Lisp,1
Lithuania,Lua,9
Lithuania,MATLAB,1
Lithuania,OCaml,1
Lithuania,Objective-C,6
Lithuania,PHP,46
Lithuania,Perl,3
Lithuania,PowerShell,37
Lithuania,Prolog,1
Lithuania,Python,60
Lithuania,R,6
Lithuania,Ruby,13
Lithuania,Rust,19
Lithuania,SAS,1
Lithuania,SQL,120
Lithuania,Scala,8
Lithuania,Swift,10
Lithuania,TypeScript,113
Lithuania,VBA,7
Lithuania,Visual Basic (.Net),5
Luxembourg,Assembly,2
Luxembourg,Bash/Shell (all shells),20
Luxembourg,C,5
Luxembourg,C#,15
Luxembourg,C++,8
Luxembourg,Clojure,2
Luxembourg,Dart,3
Luxembourg,Delphi,5
Luxembourg,Elixir,2
Luxembourg,GDScript,1
Luxembourg,Go,3
Luxembourg,Groovy,1
Luxembourg,HTML/CSS,33
Luxembourg,Haskell,1
Luxembourg,Java,18
Luxembourg,JavaScript,37
Luxembourg,Julia,2
Luxembourg,Kotlin,3
Luxembourg,Lisp,1
Luxembourg,Lua,1
Luxembourg,MATLAB,2
Luxembourg,Objective-C,2
Luxembourg,PHP,21
Luxembourg,Perl,3
Luxembourg,PowerShell,15
Luxembourg,Prolog,2
Luxembourg,Python,30
Luxembourg,R,6
Luxembourg,Ruby,1
Luxembourg,Rust,5
Luxembourg,SQL,31
Luxembourg,Scala,4
Luxembourg,Swift,3
Luxembourg,TypeScript,25
Luxembourg,VBA,6
Luxembourg,Visual Basic (.Net),3
Malta,Apex,3
Malta,Assembly,3
Malta,Bash/Shell (all shells),10
Malta,C,3
Malta,C#,13
Malta,C++,3
Malta,Dart,4
Malta,Delphi,2
Malta,Elixir,1
Malta,Erlang,1
Malta,Fortran,1
Malta,GDScript,1
Malta,Go,1
Malta,HTML/CSS,20
Malta,Java,6
Malta,JavaScript,24
Malta,Kotlin,1
Malta,Lua,2
Malta,MATLAB,3
Malta,Objective-C,2
Malta,PHP,10
Malta,PowerShell,6
Malta,Python,11
Malta,R,1
Malta,Ruby,1
Malta,Rust,3
Malta,SQL,16
Malta,Solidity,1
Malta,TypeScript,13
Malta,VBA,1
Malta,Visual Basic (.Net),3
Netherlands,Ada,6
Netherlands,Apex,15
Netherlands,Assembly,45
Netherlands,Bash/Shell (all shells),607
Netherlands,C,211
Netherlands,C#,515
Netherlands,C++,277
Netherlands,Clojure,25
Netherlands,Cobol,8
Netherlands,Crystal,3
Netherlands,Dart,93
Netherlands,Delphi,119
Netherlands,Elixir,31
Netherlands,Erlang,16
Netherlands,F#,22
Netherlands,Flow,2
Netherlands,Fortran,15
Netherlands,GDScript,23
Netherlands,Go,261
Netherlands,Groovy,69
Netherlands,HTML/CSS,910
Netherlands,Haskell,28
Netherlands,Java,475
Netherlands,JavaScript,1095
Netherlands,Julia,15
Netherlands,Kotlin,206
Netherlands,Lisp,11
Netherlands,Lua,93
Netherlands,MATLAB,38
Netherlands,Nim,3
Netherlands,OCaml,4
Netherlands,Objective-C,39
Netherlands,PHP,418
Netherlands,Perl,54
Netherlands,PowerShell,265
Netherlands,Prolog,8
Netherlands,Python,759
Netherlands,R,61
Netherlands,Raku,4
Netherlands,Ruby,104
Netherlands,Rust,229
Netherlands,SAS,6
Netherlands,SQL,897
Netherlands,Scala,76
Netherlands,Solidity,11
Netherlands,Swift,79
Netherlands,TypeScript,761
Netherlands,VBA,57
Netherlands,Visual Basic (.Net),52
Netherlands,Zig,11
Poland,Assembly,2
Poland,Bash/Shell (all shells),34
Poland,C,11
Poland,C#,21
Poland,C++,10
Poland,Clojure,1
Poland,Dart,2
Poland,Delphi,3
Poland,Elixir,4
Poland,Erlang,3
Poland,Flow,1
Poland,Go,21
Poland,Groovy,2
Poland,HTML/CSS,41
Poland,Haskell,3
Poland,Java,21
Poland,JavaScript,56
Poland,Kotlin,7
Poland,Lisp,2
Poland,Lua,4
Poland,Objective-C,4
Poland,PHP,10
Poland,PowerShell,11
Poland,Prolog,1
Poland,Python,38
Poland,R,1
Poland,Ruby,7
Poland,Rust,11
Poland,SQL,42
Poland,Scala,3
Poland,Solidity,2
Poland,Swift,6
Poland,TypeScript,49
Poland,VBA,1
Poland,Zig,2
Portugal,APL,1
Portugal,Ada,6
Portugal,Apex,5
Portugal,Assembly,20
Portugal,Bash/Shell (all shells),169
Portugal,C,70
Portugal,C#,163
Portugal,C++,76
Portugal,Clojure,9
Portugal,Cobol,3
Portugal,Crystal,3
Portugal,Dart,29
Portugal,Delphi,19
Portugal,Elixir,15
Portugal,Erlang,7
Portugal,F#,2
Portugal,Flow,1
Portugal,Fortran,4
Portugal,GDScript,6
Portugal,Go,82
Portugal,Groovy,29
Portugal,HTML/CSS,302
Portugal,Haskell,3
Portugal,Java,170
Portugal,JavaScript,387
Portugal,Julia,4
Portugal,Kotlin,66
Portugal,Lisp,10
Portugal,Lua,17
Portugal,MATLAB,15
Portugal,Nim,2
Portugal,OCaml,3
Portugal,Objective-C,19
Portugal,PHP,107
Portugal,Perl,10
Portugal,PowerShell,68
Portugal,Prolog,7
Portugal,Python,234
Portugal,R,18
Portugal,Ruby,52
Portugal,Rust,48
Portugal,SAS,2
Portugal,SQL,281
Portugal,Scala,27
Portugal,Solidity,7
Portugal,Swift,28
Portugal,TypeScript,246
Portugal,VBA,23
Portugal,Visual Basic (.Net),28
Portugal,Zig,2
Romania,Ada,1
Romania,Apex,1
Romania,Assembly,6
Romania,Bash/Shell (all shells),43
Romania,C,13
Romania,C#,38
Romania,C++,19
Romania,Clojure,1
Romania,Dart,5
Romania,Delphi,2
Romania,Elixir,5
Romania,Erlang,1
Romania,F#,2
Romania,Go,18
Romania,Groovy,5
Romania,HTML/CSS,77
Romania,Haskell,1
Romania,Java,38
Romania,JavaScript,109
Romania,Julia,3
Romania,Kotlin,9
Romania,Lisp,2
Romania,Lua,6
Romania,MATLAB,6
Romania,Objective-C,5
Romania,PHP,28
Romania,Perl,2
Romania,PowerShell,21
Romania,Python,49
Romania,Raku,1
Romania,Ruby,8
Romania,Rust,8
Romania,SAS,1
Romania,SQL,76
Romania,Scala,1
Romania,Solidity,3
Romania,Swift,10
Romania,TypeScript,84
Romania,VBA,1
Romania,Visual Basic (.Net),3
Slovakia,Assembly,9
Slovakia,Bash/Shell (all shells),63
Slovakia,C,39
Slovakia,C#,63
Slovakia,C++,41
Slovakia,Clojure,4
Slovakia,Dart,10
Slovakia,Delphi,11
Slovakia,Elixir,2
Slovakia,Erlang,2
Slovakia,F#,3
Slovakia,Flow,1
Slovakia,GDScript,5
Slovakia,Go,25
Slovakia,Groovy,9
Slovakia,HTML/CSS,130
Slovakia,Haskell,4
Slovakia,Java,69
Slovakia,JavaScript,147
Slovakia,Kotlin,22
Slovakia,Lisp,1
Slovakia,Lua,9
Slovakia,MATLAB,5
Slovakia,Nim,1
Slovakia,OCaml,1
Slovakia,Objective-C,7
Slovakia,PHP,69
Slovakia,Perl,2
Slovakia,PowerShell,31
Slovakia,Python,97
Slovakia,R,5
Slovakia,Raku,1
Slovakia,Ruby,8
Slovakia,Rust,21
Slovakia,SQL,133
Slovakia,Scala,4
Slovakia,Solidity,1
Slovakia,Swift,10
Slovakia,TypeScript,108
Slovakia,VBA,9
Slovakia,Visual Basic (.Net),7
Slovakia,Zig,2
Slovenia,Apex,2
Slovenia,Assembly,5
Slovenia,Bash/Shell (all shells),67
Slovenia,C,27
Slovenia,C#,69
Slovenia,C++,25
Slovenia,Clojure,2
Slovenia,Cobol,1
Slovenia,Dart,16
Slovenia,Delphi,19
Slovenia,Elixir,5
Slovenia,F#,1
Slovenia,Fortran,1
Slovenia,GDScript,2
Slovenia,Go,25
Slovenia,Groovy,7
Slovenia,HTML/CSS,108
Slovenia,Java,67
Slovenia,JavaScript,146
Slovenia,Kotlin,22
Slovenia,Lisp,1
Slovenia,Lua,7
Slovenia,MATLAB,5
Slovenia,Objective-C,6
Slovenia,PHP,54
Slovenia,Perl,4
Slovenia,PowerShell,39
Slovenia,Prolog,1
Slovenia,Python,89
Slovenia,R,5
Slovenia,Ruby,11
Slovenia,Rust,14
Slovenia,SQL,130
Slovenia,Scala,9
Slovenia,Solidity,8
Slovenia,Swift,7
Slovenia,TypeScript,90
Slovenia,VBA,7
Slovenia,Visual Basic (.Net),6
Spain,Ada,18
Spain,Apex,7
Spain,Assembly,49
Spain,Bash/Shell (all shells),420
Spain,C,198
Spain,C#,281
Spain,C++,217
Spain,Clojure,15
Spain,Cobol,14
Spain,Crystal,4
Spain,Dart,63
Spain,Delphi,60
Spain,Elixir,60
Spain,Erlang,21
Spain,F#,9
Spain,Flow,3
Spain,Fortran,14
Spain,GDScript,17
Spain,Go,170
Spain,Groovy,59
Spain,HTML/CSS,642
Spain,Haskell,18
Spain,Java,482
Spain,JavaScript,844
Spain,Julia,12
Spain,Kotlin,123
Spain,Lisp,13
Spain,Lua,57
Spain,MATLAB,46
Spain,Nim,3
Spain,OCaml,4
Spain,Objective-C,29
Spain,PHP,306
Spain,Perl,21
Spain,PowerShell,134
Spain,Prolog,8
Spain,Python,597
Spain,R,62
Spain,Raku,2
Spain,Ruby,103
Spain,Rust,108
Spain,SAS,6
Spain,SQL,657
Spain,Scala,47
Spain,Solidity,17
Spain,Swift,59
Spain,TypeScript,500
Spain,VBA,50
Spain,Visual Basic (.Net),69
Spain,Zig,2
Sweden,Bash/Shell (all shells),2
Sweden,C,1
Sweden,C#,4
Sweden,C++,1
Sweden,Clojure,1
Sweden,Dart,1
Sweden,Erlang,1
Sweden,Go,3
Sweden,HTML/CSS,2
Sweden,Java,2
Sweden,JavaScript,7
Sweden,Kotlin,2
Sweden,Lua,1
Sweden,MATLAB,1
Sweden,PHP,2
Sweden,Perl,3
Sweden,PowerShell,2
Sweden,Python,3
Sweden,R,1
Sweden,Ruby,1
Sweden,Rust,5
Sweden,SQL,6
Sweden,Swift,1
Sweden,TypeScript,4
Sweden,VBA,1
